"Date","LFACTTTTCAM647N"
2017-05-01,19833500
2017-06-01,19959500
2017-07-01,20016800
2017-08-01,20053300
2017-09-01,19626400
2017-10-01,19694200
2017-11-01,19672800
2017-12-01,19659900
2018-01-01,19490500
2018-02-01,19512100
2018-03-01,19590800
2018-04-01,19637200
2018-05-01,20009500
2018-06-01,20177000
2018-07-01,20249300
2018-08-01,20288400
2018-09-01,19899600
2018-10-01,19913700
2018-11-01,19937300
2018-12-01,19900600
2019-01-01,19848600
2019-02-01,19935700
2019-03-01,19981900
2019-04-01,20124700
2019-05-01,20445200
2019-06-01,20566300
2019-07-01,20605100
2019-08-01,20712900
2019-09-01,20320500
2019-10-01,20306200
2019-11-01,20264700
2019-12-01,20186800
2020-01-01,20059600
2020-02-01,20140100
2020-03-01,19530200
2020-04-01,18518300
2020-05-01,19308100
2020-06-01,20183000
2020-07-01,20380500
2020-08-01,20545100
2020-09-01,20284000
2020-10-01,20320900
2020-11-01,20255600
2020-12-01,20145700
2021-01-01,19963300
2021-02-01,20107200
2021-03-01,20257000
2021-04-01,20194700
2021-05-01,20503600
2021-06-01,20772000
2021-07-01,20824400
2021-08-01,20901800
2021-09-01,20606500
2021-10-01,20552400
2021-11-01,20590600
2021-12-01,20536300
2022-01-01,20326100
2022-02-01,20519600
2022-03-01,20567200
2022-04-01,20650400
2022-05-01,21033200
2022-06-01,21044000
2022-07-01,21050300
2022-08-01,21137700
2022-09-01,20741700
2022-10-01,20842900
2022-11-01,20811800
2022-12-01,20762900
2023-01-01,20835200
2023-02-01,20877400
2023-03-01,20972200
2023-04-01,21036000
2023-05-01,21451600
2023-06-01,21636900
2023-07-01,21680600
2023-08-01,21735800
2023-09-01,21391100
2023-10-01,21473200
2023-11-01,21452000
