"Date","LFIN64MACAM647N"
2022-08-01,1912600
2022-09-01,2158200
2022-10-01,2166400
2022-11-01,2181400
2022-12-01,2240100
2023-01-01,2231300
2023-02-01,2252800
2023-03-01,2229000
2023-04-01,2210500
2023-05-01,2014300
2023-06-01,1937900
2023-07-01,1897100
2023-08-01,1952000
2023-09-01,2171700
2023-10-01,2150800
2023-11-01,2197600
