"Date","XTEXVA01CAM664N"
2005-04-01,35889700000
2005-05-01,36777500000
2005-06-01,37124700000
2005-07-01,3.258e+10
2005-08-01,37583400000
2005-09-01,37833300000
2005-10-01,39878900000
2005-11-01,38630200000
2005-12-01,37863200000
2006-01-01,3.7131e+10
2006-02-01,34401800000
2006-03-01,38866700000
2006-04-01,35605800000
2006-05-01,37346100000
2006-06-01,3.8036e+10
2006-07-01,33942900000
2006-08-01,3.7389e+10
2006-09-01,36235600000
2006-10-01,37029100000
2006-11-01,3.7509e+10
2006-12-01,36872100000
2007-01-01,38223200000
2007-02-01,35866300000
2007-03-01,41533200000
2007-04-01,39443300000
2007-05-01,39841700000
2007-06-01,39381600000
2007-07-01,35018600000
2007-08-01,37658900000
2007-09-01,35527700000
2007-10-01,37281800000
2007-11-01,36821300000
2007-12-01,33723200000
2008-01-01,36509800000
2008-02-01,36658700000
2008-03-01,39654700000
2008-04-01,41340200000
2008-05-01,41851300000
2008-06-01,42553500000
2008-07-01,43552800000
2008-08-01,41850500000
2008-09-01,42013400000
2008-10-01,44448400000
2008-11-01,38664900000
2008-12-01,34389900000
2009-01-01,29565700000
2009-02-01,29834400000
2009-03-01,32767500000
2009-04-01,2.9773e+10
2009-05-01,27515600000
2009-06-01,29254800000
2009-07-01,29786200000
2009-08-01,28612400000
2009-09-01,29896900000
2009-10-01,31205800000
2009-11-01,30464200000
2009-12-01,31077100000
2010-01-01,30452600000
2010-02-01,30319900000
2010-03-01,34691300000
2010-04-01,32603500000
2010-05-01,33790300000
2010-06-01,34254800000
2010-07-01,31016900000
2010-08-01,33223800000
2010-09-01,33245700000
2010-10-01,34247400000
2010-11-01,34421900000
2010-12-01,36588900000
2011-01-01,34802200000
2011-02-01,32391100000
2011-03-01,3.9003e+10
2011-04-01,34766100000
2011-05-01,37045400000
2011-06-01,37153100000
2011-07-01,35511500000
2011-08-01,38558800000
2011-09-01,39593200000
2011-10-01,38910400000
2011-11-01,39403800000
2011-12-01,39568500000
2012-01-01,37412100000
2012-02-01,36601100000
2012-03-01,40657100000
2012-04-01,38775200000
2012-05-01,39439100000
2012-06-01,38975400000
2012-07-01,36090700000
2012-08-01,37141600000
2012-09-01,36213300000
2012-10-01,3.9326e+10
2012-11-01,38124900000
2012-12-01,36414200000
2013-01-01,37827600000
2013-02-01,36167900000
2013-03-01,40721500000
2013-04-01,39774900000
2013-05-01,40612900000
2013-06-01,38914400000
2013-07-01,37280900000
2013-08-01,38825200000
2013-09-01,40080400000
2013-10-01,4.2051e+10
2013-11-01,39797900000
2013-12-01,39892400000
2014-01-01,4.0356e+10
2014-02-01,3.9457e+10
2014-03-01,45604300000
2014-04-01,42894800000
2014-05-01,45160800000
2014-06-01,45186800000
2014-07-01,43469300000
2014-08-01,43320500000
2014-09-01,46097800000
2014-10-01,47010300000
2014-11-01,42538800000
2014-12-01,45676700000
2015-01-01,42473600000
2015-02-01,40014300000
2015-03-01,45605400000
2015-04-01,4.2067e+10
2015-05-01,41490800000
2015-06-01,45980200000
2015-07-01,43755700000
2015-08-01,44157700000
2015-09-01,4.5862e+10
2015-10-01,43952400000
2015-11-01,42790700000
2015-12-01,45916300000
2016-01-01,4.3691e+10
2016-02-01,41470900000
2016-03-01,43509100000
2016-04-01,40096600000
2016-05-01,40760400000
2016-06-01,42751200000
2016-07-01,39512300000
2016-08-01,43838300000
2016-09-01,44461900000
2016-10-01,44717200000
2016-11-01,46720700000
2016-12-01,4.5242e+10
2017-01-01,4.4598e+10
2017-02-01,42319700000
2017-03-01,49759800000
2017-04-01,45367200000
2017-05-01,50094600000
2017-06-01,48074600000
2017-07-01,4.0976e+10
2017-08-01,43579400000
2017-09-01,42943500000
2017-10-01,45506100000
2017-11-01,46718100000
2017-12-01,46149600000
2018-01-01,45322200000
2018-02-01,42356700000
2018-03-01,49740100000
2018-04-01,4.7542e+10
2018-05-01,5.0819e+10
2018-06-01,52406500000
2018-07-01,49256100000
2018-08-01,50449400000
2018-09-01,48682100000
2018-10-01,5.1763e+10
2018-11-01,4.9142e+10
2018-12-01,46815400000
2019-01-01,45576300000
2019-02-01,42506700000
2019-03-01,51634800000
2019-04-01,49765400000
2019-05-01,55430200000
2019-06-01,50999700000
2019-07-01,48836300000
2019-08-01,49389500000
2019-09-01,49186900000
2019-10-01,50836400000
2019-11-01,48023900000
2019-12-01,49896200000
2020-01-01,46561200000
2020-02-01,44504500000
2020-03-01,48172600000
2020-04-01,32471800000
2020-05-01,34207200000
2020-06-01,41099500000
2020-07-01,43279800000
2020-08-01,4.3605e+10
2020-09-01,46676800000
2020-10-01,47506600000
2020-11-01,46755200000
2020-12-01,47686900000
2021-01-01,47397200000
2021-02-01,45554700000
2021-03-01,53822300000
2021-04-01,48886200000
2021-05-01,49940600000
2021-06-01,55293500000
2021-07-01,51576100000
2021-08-01,53964900000
2021-09-01,52699100000
2021-10-01,55097400000
2021-11-01,58902700000
2021-12-01,58477600000
2022-01-01,54815100000
2022-02-01,54466200000
2022-03-01,68233400000
2022-04-01,63774600000
2022-05-01,70784200000
2022-06-01,71577600000
2022-07-01,66049400000
2022-08-01,67107500000
2022-09-01,66164600000
2022-10-01,66623600000
2022-11-01,64572700000
2022-12-01,64881900000
2023-01-01,65339500000
2023-02-01,58605600000
2023-03-01,68760200000
2023-04-01,61862500000
2023-05-01,66012700000
2023-06-01,62025200000
2023-07-01,58594300000
2023-08-01,64487200000
2023-09-01,64289700000
