"Date","CANPRMNTO01IXOBM"
1989-09-01,82.1594763747239
1989-10-01,80.3028956146387
1989-11-01,80.8113368186454
1989-12-01,70.3343665542643
1990-01-01,70.2650336628089
1990-02-01,79.131940114502
1990-03-01,80.6341527627037
1990-04-01,78.3153527262488
1990-05-01,79.2629022428068
1990-06-01,83.3766538024976
1990-07-01,69.0247452712167
1990-08-01,73.7085672717636
1990-09-01,78.09194674267
1990-10-01,76.0427746174308
1990-11-01,74.394192531712
1990-12-01,63.447299336355
1991-01-01,63.1699677705331
1991-02-01,69.9954057515932
1991-03-01,71.0585100872436
1991-04-01,71.0045845050005
1991-05-01,72.1447253867125
1991-06-01,76.3201061832526
1991-07-01,63.7092235929645
1991-08-01,70.1186642252918
1991-09-01,75.9041088345199
1991-10-01,73.4697539789725
1991-11-01,72.8226469920549
1991-12-01,62.1453817079135
1992-01-01,63.0852275698654
1992-02-01,71.2356941431854
1992-03-01,72.3604277156851
1992-04-01,72.4451679163529
1992-05-01,72.9073871927226
1992-06-01,77.0519533708381
1992-07-01,62.9619690961668
1992-08-01,70.7195492845724
1992-09-01,75.9734417259753
1992-10-01,74.7562642982016
1992-11-01,75.2801128114207
1992-12-01,65.7583957182038
1993-01-01,66.0203199748133
1993-02-01,74.7100423705647
1993-03-01,77.1675081899305
1993-04-01,76.3894390747081
1993-05-01,77.0211387524134
1993-06-01,80.3260065784572
1993-07-01,66.0357272840256
1993-08-01,74.9796702817804
1993-09-01,81.4584438055631
1993-10-01,79.2089766605636
1993-11-01,79.7559361376012
1993-12-01,68.2851944290251
1994-01-01,69.656444948922
1994-02-01,77.5912091932695
1994-03-01,81.0501501114365
1994-04-01,80.7111893087653
1994-05-01,82.5600664142443
1994-06-01,86.7200399015721
1994-07-01,71.0970283602744
1994-08-01,82.0670325194499
1994-09-01,87.4287761253391
1994-10-01,86.381079098901
1994-11-01,87.4364797799452
1994-12-01,76.5049938938006
1995-01-01,79.4168584087979
1995-02-01,87.7558827802696
1995-03-01,88.649349677213
1995-04-01,86.7244006716033
1995-05-01,87.828522365387
1995-06-01,89.8914865827197
1995-07-01,74.6299097495646
1995-08-01,84.3490862382659
1995-09-01,89.1505628145227
1995-10-01,88.155400498415
1995-11-01,87.828522365387
1995-12-01,74.4628387037947
1996-01-01,77.3393662744418
1996-02-01,86.266771285364
1996-03-01,86.0851723225706
1996-04-01,86.9277915099318
1996-05-01,88.5985019676309
1996-06-01,90.7776895211514
1996-07-01,77.4919094031882
1996-08-01,85.881781484242
1996-09-01,91.5113493308366
1996-10-01,90.320060134912
1996-11-01,91.7292680861886
1996-12-01,77.085127726531
1997-01-01,82.8111969074087
1997-02-01,92.5952453370748
1997-03-01,91.9417980592812
1997-04-01,95.30322504685
1997-05-01,95.2031475358366
1997-06-01,96.5983457776121
1997-07-01,85.0717712738297
