"Date","XTEXVA01CAM664S"
1996-10-01,22226400000
1996-11-01,2.3459e+10
1996-12-01,23335300000
1997-01-01,24494600000
1997-02-01,24226400000
1997-03-01,24415200000
1997-04-01,24404300000
1997-05-01,24755600000
1997-06-01,24188800000
1997-07-01,25314800000
1997-08-01,2.4688e+10
1997-09-01,25072400000
1997-10-01,24706100000
1997-11-01,25500600000
1997-12-01,26302500000
1998-01-01,25165200000
1998-02-01,26004600000
1998-03-01,25544900000
1998-04-01,26341500000
1998-05-01,26122200000
1998-06-01,25494100000
1998-07-01,25579600000
1998-08-01,26753600000
1998-09-01,27335300000
1998-10-01,27989400000
1998-11-01,27889900000
1998-12-01,2.8195e+10
1999-01-01,2.8452e+10
1999-02-01,28619900000
1999-03-01,28326900000
1999-04-01,28248700000
1999-05-01,28357600000
1999-06-01,29116900000
1999-07-01,29938500000
1999-08-01,30426700000
1999-09-01,30175900000
1999-10-01,30638700000
1999-11-01,31459800000
1999-12-01,31659300000
2000-01-01,32909600000
2000-02-01,32204500000
2000-03-01,33492500000
2000-04-01,32994600000
2000-05-01,34479700000
2000-06-01,35210600000
2000-07-01,34580400000
2000-08-01,34412400000
2000-09-01,34904600000
2000-10-01,3.582e+10
2000-11-01,35582600000
2000-12-01,36623800000
2001-01-01,37968800000
2001-02-01,3.4783e+10
2001-03-01,35480900000
2001-04-01,35432100000
2001-05-01,34964200000
2001-06-01,33906800000
2001-07-01,32839300000
2001-08-01,32132200000
2001-09-01,31501200000
2001-10-01,31206600000
2001-11-01,32694200000
2001-12-01,31176400000
2002-01-01,31725500000
2002-02-01,32806900000
2002-03-01,32168300000
2002-04-01,33157200000
2002-05-01,33231800000
2002-06-01,31966700000
2002-07-01,32985200000
2002-08-01,33523600000
2002-09-01,33847900000
2002-10-01,34119800000
2002-11-01,33796900000
2002-12-01,3.3052e+10
2003-01-01,33454500000
2003-02-01,33105800000
2003-03-01,3.4229e+10
2003-04-01,31862200000
2003-05-01,31091900000
2003-06-01,30073300000
2003-07-01,31298200000
2003-08-01,30354800000
2003-09-01,3.2062e+10
2003-10-01,31091700000
2003-11-01,31077800000
2003-12-01,31471100000
2004-01-01,30634300000
2004-02-01,32910700000
2004-03-01,33846600000
2004-04-01,34668200000
2004-05-01,35655100000
2004-06-01,37245200000
2004-07-01,3.5904e+10
2004-08-01,35715700000
2004-09-01,34079500000
2004-10-01,33994900000
2004-11-01,33761500000
2004-12-01,33874300000
2005-01-01,34390600000
2005-02-01,34852700000
2005-03-01,34301300000
2005-04-01,35053100000
2005-05-01,35978400000
2005-06-01,3.5412e+10
2005-07-01,35422400000
2005-08-01,36765200000
2005-09-01,37898600000
2005-10-01,39289800000
2005-11-01,37831700000
2005-12-01,39154800000
2006-01-01,38034700000
2006-02-01,36555200000
2006-03-01,36335500000
2006-04-01,36011200000
2006-05-01,36121400000
2006-06-01,36584300000
2006-07-01,36463400000
2006-08-01,36591800000
2006-09-01,36450500000
2006-10-01,35680200000
2006-11-01,36797300000
2006-12-01,38739600000
2007-01-01,38676800000
2007-02-01,38094100000
2007-03-01,39673300000
2007-04-01,3.946e+10
2007-05-01,38587700000
2007-06-01,38441200000
2007-07-01,37161900000
2007-08-01,36989900000
2007-09-01,36104600000
2007-10-01,35392600000
2007-11-01,36371800000
2007-12-01,35366800000
2008-01-01,3.6791e+10
2008-02-01,38288400000
2008-03-01,38869700000
2008-04-01,4.039e+10
2008-05-01,41647900000
2008-06-01,4.2187e+10
2008-07-01,44955100000
2008-08-01,42110600000
2008-09-01,41838700000
2008-10-01,42660900000
2008-11-01,38862200000
2008-12-01,34886700000
2009-01-01,30472600000
2009-02-01,31709700000
2009-03-01,30871800000
2009-04-01,29675900000
2009-05-01,27527700000
2009-06-01,28489700000
2009-07-01,31109200000
2009-08-01,28945800000
2009-09-01,29346400000
2009-10-01,2.9879e+10
2009-11-01,30257800000
2009-12-01,31467900000
2010-01-01,31581900000
2010-02-01,32232100000
2010-03-01,32592400000
2010-04-01,3.2348e+10
2010-05-01,3.3809e+10
2010-06-01,33255600000
2010-07-01,32597500000
2010-08-01,33464400000
2010-09-01,32842700000
2010-10-01,3.3332e+10
2010-11-01,33831200000
2010-12-01,36970100000
2011-01-01,36195400000
2011-02-01,3.4696e+10
2011-03-01,36119700000
2011-04-01,35331700000
2011-05-01,36096800000
2011-06-01,35798200000
2011-07-01,37019100000
2011-08-01,38365400000
2011-09-01,39329700000
2011-10-01,3.8004e+10
2011-11-01,39357700000
2011-12-01,40393300000
2012-01-01,3.8893e+10
2012-02-01,38768900000
2012-03-01,38283900000
2012-04-01,38861200000
2012-05-01,38008100000
2012-06-01,37701400000
2012-07-01,37828200000
2012-08-01,37127500000
2012-09-01,36601200000
2012-10-01,37662400000
2012-11-01,38055500000
2012-12-01,37379500000
2013-01-01,38677800000
2013-02-01,39109900000
2013-03-01,38970300000
2013-04-01,39303800000
2013-05-01,39572300000
2013-06-01,38095400000
