"Date","CANPRCNTO01MLSAM"
2021-07-01,13475083333.3333
2021-08-01,13502583333.3333
2021-09-01,13483666666.6667
2021-10-01,13646166666.6667
2021-11-01,13690500000
2021-12-01,13613250000
2022-01-01,13824083333.3333
2022-02-01,13946500000
2022-03-01,14025833333.3333
2022-04-01,13944250000
2022-05-01,13883500000
2022-06-01,13918250000
2022-07-01,13879583333.3333
2022-08-01,1.3883e+10
2022-09-01,13800333333.3333
2022-10-01,13914083333.3333
2022-11-01,13916166666.6667
2022-12-01,13789416666.6667
2023-01-01,13904083333.3333
2023-02-01,13849833333.3333
2023-03-01,13870416666.6667
2023-04-01,13888250000
2023-05-01,1.3758e+10
2023-06-01,13734500000
2023-07-01,13730500000
2023-08-01,13754666666.6667
2023-09-01,13886083333.3333
