"Date","CANODCNPI03MLM"
2010-07-01,3815690000
2010-08-01,3764707000
2010-09-01,4115891000
2010-10-01,3638491000
2010-11-01,3070269000
2010-12-01,2960524000
2011-01-01,2363150000
2011-02-01,2064935000
2011-03-01,4130579000
2011-04-01,3821619000
2011-05-01,4578065000
2011-06-01,4557187000
2011-07-01,4176720000
2011-08-01,3943079000
2011-09-01,3855072000
2011-10-01,3773991000
2011-11-01,3769407000
2011-12-01,3445206000
2012-01-01,2896855000
2012-02-01,2931457000
2012-03-01,4005292000
2012-04-01,4179392000
2012-05-01,5191107000
2012-06-01,5237756000
2012-07-01,4739677000
2012-08-01,4516597000
2012-09-01,4429633000
2012-10-01,4358479000
2012-11-01,3620388000
2012-12-01,2301720000
2013-01-01,2686031000
2013-02-01,2556817000
2013-03-01,3493875000
2013-04-01,4832901000
2013-05-01,5545227000
2013-06-01,4513227000
2013-07-01,4698039000
2013-08-01,4151978000
2013-09-01,4411800000
2013-10-01,4850942000
2013-11-01,3907406000
2013-12-01,2761246000
2014-01-01,3431980000
2014-02-01,2680380000
2014-03-01,3585652000
2014-04-01,4153260000
2014-05-01,5012435000
2014-06-01,4935867000
2014-07-01,5553177000
2014-08-01,4233333000
2014-09-01,4937902000
2014-10-01,4959285000
2014-11-01,4093511000
2014-12-01,3414821000
2015-01-01,2826719000
2015-02-01,2958382000
2015-03-01,4395151000
2015-04-01,4929588000
2015-05-01,4694680000
2015-06-01,5489275000
2015-07-01,5671322000
2015-08-01,4793999000
2015-09-01,4661889000
2015-10-01,5487338000
2015-11-01,3734169000
2015-12-01,3707464000
2016-01-01,2524417000
2016-02-01,2860763000
2016-03-01,4180331000
2016-04-01,5041483000
2016-05-01,5133033000
2016-06-01,5058801000
2016-07-01,4739976000
2016-08-01,4993818000
2016-09-01,5245184000
2016-10-01,6384023000
2016-11-01,4957762000
2016-12-01,4020014000
2017-01-01,3507738000
2017-02-01,3564224000
2017-03-01,4794456000
2017-04-01,4424535000
2017-05-01,6365135000
2017-06-01,6451454000
2017-07-01,5660361000
2017-08-01,5511418000
2017-09-01,5147374000
2017-10-01,5601807000
2017-11-01,4666876000
2017-12-01,3996698000
2018-01-01,4063749000
2018-02-01,3772228000
2018-03-01,4922624000
2018-04-01,5341330000
2018-05-01,6829125000
2018-06-01,6593340000
2018-07-01,5940374000
2018-08-01,5299180000
2018-09-01,5017009000
2018-10-01,5823003000
2018-11-01,4804142000
2018-12-01,4437273000
2019-01-01,4272880000
2019-02-01,3310610000
2019-03-01,4446372000
2019-04-01,5792647000
2019-05-01,6457605000
2019-06-01,5987666000
2019-07-01,5965479000
2019-08-01,6439542000
2019-09-01,5285339000
2019-10-01,5545139000
2019-11-01,4190118000
2019-12-01,4419231000
2020-01-01,4660665000
2020-02-01,3819689000
2020-03-01,4285018000
2020-04-01,3947394000
2020-05-01,6145012000
2020-06-01,6948268000
2020-07-01,6136995000
2020-08-01,6290465000
2020-09-01,6587502000
2020-10-01,6774569000
2020-11-01,5990962000
2020-12-01,5585193000
2021-01-01,5851492000
2021-02-01,4979268000
2021-03-01,8490265000
2021-04-01,8057218000
2021-05-01,7589053000
2021-06-01,8794013000
2021-07-01,7759924000
2021-08-01,6802375000
2021-09-01,7403249000
2021-10-01,7256660000
2021-11-01,7730426000
2021-12-01,6681573000
2022-01-01,5046342000
2022-02-01,5507310000
2022-03-01,8728365000
2022-04-01,8110157000
2022-05-01,9115687000
2022-06-01,10577250000
2022-07-01,7938498000
2022-08-01,8909047000
2022-09-01,7089382000
2022-10-01,5790143000
2022-11-01,7161183000
2022-12-01,5657447000
2023-01-01,4262700000
2023-02-01,4756264000
2023-03-01,7697470000
2023-04-01,6211982000
2023-05-01,8419670000
2023-06-01,9286179000
2023-07-01,7654029000
2023-08-01,7336979000
2023-09-01,7206929000
