"Date","MAM2A3CAM189S"
2010-11-01,1.360942e+12
2010-12-01,1.364994e+12
2011-01-01,1.367369e+12
2011-02-01,1.371189e+12
2011-03-01,1.377464e+12
2011-04-01,1.381259e+12
2011-05-01,1.385184e+12
2011-06-01,1.392297e+12
2011-07-01,1.397643e+12
2011-08-01,1.403609e+12
2011-09-01,1.420028e+12
2011-10-01,1.433268e+12
2011-11-01,1.43552e+12
2011-12-01,1.441469e+12
2012-01-01,1.44844e+12
2012-02-01,1.450979e+12
2012-03-01,1.454937e+12
2012-04-01,1.463142e+12
2012-05-01,1.47214e+12
2012-06-01,1.483578e+12
2012-07-01,1.491484e+12
2012-08-01,1.496856e+12
2012-09-01,1.496656e+12
2012-10-01,1.501213e+12
2012-11-01,1.50661e+12
2012-12-01,1.510723e+12
2013-01-01,1.518725e+12
2013-02-01,1.529878e+12
2013-03-01,1.549361e+12
2013-04-01,1.551587e+12
2013-05-01,1.55402e+12
2013-06-01,1.559393e+12
2013-07-01,1.563772e+12
2013-08-01,1.573278e+12
2013-09-01,1.578284e+12
2013-10-01,1.584927e+12
2013-11-01,1.59371e+12
2013-12-01,1.601266e+12
2014-01-01,1.609891e+12
2014-02-01,1.61158e+12
2014-03-01,1.617529e+12
2014-04-01,1.619281e+12
2014-05-01,1.626954e+12
2014-06-01,1.629406e+12
2014-07-01,1.634193e+12
2014-08-01,1.644152e+12
2014-09-01,1.652334e+12
2014-10-01,1.661416e+12
2014-11-01,1.663704e+12
2014-12-01,1.668167e+12
2015-01-01,1.673586e+12
2015-02-01,1.681659e+12
2015-03-01,1.687685e+12
2015-04-01,1.693967e+12
2015-05-01,1.699154e+12
2015-06-01,1.701889e+12
2015-07-01,1.71787e+12
2015-08-01,1.727258e+12
2015-09-01,1.737612e+12
2015-10-01,1.743228e+12
2015-11-01,1.750855e+12
2015-12-01,1.756505e+12
2016-01-01,1.767379e+12
2016-02-01,1.778165e+12
2016-03-01,1.785965e+12
2016-04-01,1.797244e+12
2016-05-01,1.810492e+12
2016-06-01,1.821829e+12
2016-07-01,1.838255e+12
2016-08-01,1.846275e+12
2016-09-01,1.857706e+12
2016-10-01,1.870058e+12
2016-11-01,1.883482e+12
2016-12-01,1.890357e+12
2017-01-01,1.905522e+12
2017-02-01,1.902456e+12
2017-03-01,1.916634e+12
2017-04-01,1.934822e+12
