"Date","LRUN55FECAM156N"
1999-03-01,6.43165197824864
1999-04-01,5.5668202764977
1999-05-01,4.81724461105904
1999-06-01,3.90654921486021
1999-07-01,4.72741136103698
1999-08-01,6.98064035740879
1999-09-01,5.34994503481129
1999-10-01,4.56308886015149
1999-11-01,4.56037942356804
1999-12-01,4.40184593539226
2000-01-01,4.63971880492091
2000-02-01,5.45707334028502
2000-03-01,4.69691598723857
2000-04-01,4.73208072372999
2000-05-01,4.89681706890521
2000-06-01,5.5614220344949
2000-07-01,6.29074889867841
2000-08-01,8.10810810810811
2000-09-01,6.14515576857241
2000-10-01,6.40279394644936
2000-11-01,4.74195710455764
2000-12-01,4.34709351305813
2001-01-01,5.52636040006781
2001-02-01,5.65210055677408
2001-03-01,5.05033833966001
2001-04-01,4.85903814262023
2001-05-01,4.35733512786003
2001-06-01,5.25704809286899
2001-07-01,6.4559743113064
2001-08-01,6.9028915259903
2001-09-01,5.57275541795666
2001-10-01,5.70140119181833
2001-11-01,6.26685705219737
2001-12-01,6.01596071209331
2002-01-01,6.16070056844369
2002-02-01,5.91623851782656
2002-03-01,6.31285780597246
2002-04-01,5.31453362255965
2002-05-01,5.10440835266821
2002-06-01,5.17214996174445
2002-07-01,5.0147036062529
2002-08-01,7.02726344948243
2002-09-01,5.36204653851713
2002-10-01,5.53777654097676
2002-11-01,6.37455637455638
2002-12-01,6.10403397027601
2003-01-01,5.2428988585081
2003-02-01,5.79140461215933
2003-03-01,6.28150445909267
2003-04-01,6.57894736842105
2003-05-01,5.6390977443609
2003-06-01,4.85361093038386
2003-07-01,5.91269841269841
2003-08-01,7.42555111512182
2003-09-01,4.5662100456621
2003-10-01,4.71376216352837
2003-11-01,4.85889570552147
2003-12-01,4.57627118644068
2004-01-01,5.78189802390827
2004-02-01,5.34182798333742
2004-03-01,5.81885856079405
2004-04-01,5.30736457699331
2004-05-01,5.55822906641001
2004-06-01,6.02129482315506
2004-07-01,6.52011922503726
2004-08-01,7.49697702539299
2004-09-01,4.90253987005316
2004-10-01,4.91573033707865
2004-11-01,5.09237875288684
2004-12-01,5.44122776421346
2005-01-01,5.60880369187078
2005-02-01,5.80615313439742
2005-03-01,5.03472222222222
2005-04-01,4.43241998618466
2005-05-01,5.35673839184598
2005-06-01,5.35204838525619
2005-07-01,5.38488494334774
2005-08-01,6.77000227946205
2005-09-01,5.70590888588182
2005-10-01,4.93799575466428
2005-11-01,4.80456938066973
2005-12-01,4.96603941654604
2006-01-01,5.50212480429433
2006-02-01,5.14504652435687
2006-03-01,5.21399087551597
2006-04-01,5.02178649237473
2006-05-01,5.10651964457767
2006-06-01,4.41893209141124
2006-07-01,6.4098413726125
2006-08-01,8.23705605477108
2006-09-01,4.91595306057723
2006-10-01,4.5585566349952
2006-11-01,4.32987507939869
2006-12-01,4.67879297655346
2007-01-01,4.91099476439791
2007-02-01,4.34558216350124
2007-03-01,4.67812468219262
2007-04-01,4.1762875213332
2007-05-01,4.44174018862184
2007-06-01,5.01675637249924
2007-07-01,6.21718991250643
2007-08-01,7.84215784215784
2007-09-01,5.27148649985165
2007-10-01,5.08655903520716
2007-11-01,4.48009390589847
2007-12-01,4.61674181533033
2008-01-01,4.69902912621359
2008-02-01,4.56877359403736
2008-03-01,4.89642184557438
2008-04-01,4.41316340117938
2008-05-01,5.44428772919605
2008-06-01,4.56010618126659
2008-07-01,5.12519561815336
2008-08-01,7.4088440651668
2008-09-01,5.17323208353109
2008-10-01,4.648123949972
2008-11-01,5.16776652105215
2008-12-01,5.55864369093941
2009-01-01,6.2437151476369
2009-02-01,5.7421451787649
2009-03-01,6.17448471926084
2009-04-01,5.98712635570056
2009-05-01,5.1080723423026
2009-06-01,4.98420498420498
2009-07-01,6.0753560483144
2009-08-01,8.30682219865678
2009-09-01,5.04811898512686
2009-10-01,5.72171651495449
2009-11-01,5.7920446615492
2009-12-01,5.73388444288101
2010-01-01,5.79556497923845
2010-02-01,5.74581764036086
2010-03-01,5.75356861371399
2010-04-01,5.76923076923077
2010-05-01,4.9244060475162
2010-06-01,4.85420385955964
2010-07-01,6.49683706616516
2010-08-01,8.68870384388931
2010-09-01,5.78977884535741
2010-10-01,6.03146140679762
2010-11-01,5.60162601626016
2010-12-01,5.7065662354675
2011-01-01,6.58576051779935
2011-02-01,6.70206774479041
2011-03-01,6.83991174307428
2011-04-01,6.96076080875889
2011-05-01,6.4145793192036
2011-06-01,5.17563072929342
2011-07-01,5.94998321584424
2011-08-01,8.1524878290288
2011-09-01,5.26576837232372
2011-10-01,6.12614094235671
2011-11-01,6.23522699486511
2011-12-01,6.45728442419883
2012-01-01,7.28313588296096
2012-02-01,5.88328450391955
2012-03-01,6.16822429906542
2012-04-01,5.97406606977462
2012-05-01,5.69270306050931
2012-06-01,5.51508029768899
2012-07-01,6.62684639599645
2012-08-01,7.1030968247746
2012-09-01,5.34493474207582
2012-10-01,5.41235106300132
2012-11-01,5.48614883215644
2012-12-01,5.9580699861261
2013-01-01,6.2480927677754
2013-02-01,6.66168782673637
2013-03-01,5.80245982041802
2013-04-01,5.65500711557187
2013-05-01,4.94505494505494
2013-06-01,5.82764569114228
2013-07-01,7.02114711699376
2013-08-01,7.83002748681376
2013-09-01,5.47105729474306
2013-10-01,5.55310385407473
2013-11-01,5.84919472913616
2013-12-01,5.49522629545951
2014-01-01,6.25500036366281
2014-02-01,6.4873876485938
2014-03-01,5.96162296762853
2014-04-01,5.64939265435204
2014-05-01,5.5647900556479
2014-06-01,4.41972990539467
2014-07-01,6.16099756511474
2014-08-01,7.40441770015411
2014-09-01,4.78758289003862
2014-10-01,5.67051477528498
2014-11-01,5.80603073354596
2014-12-01,5.56607897420953
2015-01-01,5.86104470042744
2015-02-01,6.02675394905365
2015-03-01,5.65601345668629
2015-04-01,5.60906515580737
2015-05-01,4.84684812735413
2015-06-01,5.04577389823291
2015-07-01,6.30841121495327
2015-08-01,7.55403381125615
2015-09-01,5.03903477643719
2015-10-01,5.19924628376021
2015-11-01,5.36884674382931
2015-12-01,5.56752623896573
2016-01-01,5.74408901251738
2016-02-01,6.06456043956044
2016-03-01,6.32980539433254
2016-04-01,6.03021884951555
2016-05-01,5.53200080759136
2016-06-01,5.04742547425474
2016-07-01,6.77122918537967
2016-08-01,8.27284946236559
2016-09-01,5.31801885539769
2016-10-01,5.07892477379302
2016-11-01,5.04291845493562
2016-12-01,5.3900234348845
2017-01-01,5.58270299216815
2017-02-01,5.89564639415088
2017-03-01,5.95809981318388
2017-04-01,5.39838913665713
2017-05-01,4.96325985303941
2017-06-01,5.22280471821756
