"Date","LRUN55TTCAM156N"
1998-04-01,7.65623736761258
1998-05-01,5.96701164294955
1998-06-01,5.86793198892843
1998-07-01,6.56865069954944
1998-08-01,7.21810378462739
1998-09-01,5.908951563458
1998-10-01,6.26822157434402
1998-11-01,6.68560024562481
1998-12-01,6.95598167844111
1999-01-01,6.99170606929695
1999-02-01,7.29311678267595
1999-03-01,7.82182764426756
1999-04-01,7.12788259958071
1999-05-01,6.01039391428787
1999-06-01,4.99623777276148
1999-07-01,5.43651094116756
1999-08-01,6.49292959206338
1999-09-01,5.06784011734507
1999-10-01,4.69025249559601
1999-11-01,4.86299860427532
1999-12-01,4.74175663845929
2000-01-01,5.45983278807706
2000-02-01,5.95238095238095
2000-03-01,5.67216210327547
2000-04-01,5.71490032984368
2000-05-01,4.92224283064631
2000-06-01,5.3483912209674
2000-07-01,5.11064657968716
2000-08-01,6.58206665736996
2000-09-01,5.72151542841077
2000-10-01,5.59782229357158
2000-11-01,4.98603351955307
2000-12-01,4.64484679665738
2001-01-01,6.5730019768427
2001-02-01,6.3337307989058
2001-03-01,6.24486442070666
2001-04-01,5.67205225163286
2001-05-01,5.24149286498353
2001-06-01,5.35835252675789
2001-07-01,5.42806101415418
2001-08-01,6.07843137254902
2001-09-01,5.08202209574824
2001-10-01,5.22836538461538
2001-11-01,6.19716434799973
2001-12-01,6.45266310717541
2002-01-01,7.46730236453837
2002-02-01,6.98228663446055
2002-03-01,6.8914768364474
2002-04-01,6.31378763866878
2002-05-01,5.96921143575243
2002-06-01,5.30945844771649
2002-07-01,5.52580177682566
2002-08-01,6.34435547949392
2002-09-01,5.60831930752585
2002-10-01,5.68995090790797
2002-11-01,6.37357525005814
2002-12-01,6.72273748487816
2003-01-01,6.90921611385286
2003-02-01,7.35469237312163
2003-03-01,7.21015514809591
2003-04-01,7.28339854667412
2003-05-01,6.20366757705814
2003-06-01,5.6949378330373
2003-07-01,5.68373663477772
2003-08-01,6.59806295399516
2003-09-01,5.40949908038516
2003-10-01,5.4350750686111
2003-11-01,5.76738224927908
2003-12-01,5.81920603709411
2004-01-01,6.6285347730796
2004-02-01,6.51702048811478
2004-03-01,6.89507723555508
2004-04-01,6.19188503803888
2004-05-01,5.74082772297897
2004-06-01,5.89620173694674
2004-07-01,5.72143275320666
2004-08-01,6.46779165142887
2004-09-01,4.78075361126818
2004-10-01,4.83509771986971
2004-11-01,5.41030678555236
2004-12-01,6.03972436157276
2005-01-01,6.06414883342653
2005-02-01,6.15872696142612
2005-03-01,5.91992757267881
2005-04-01,5.50009982032342
2005-05-01,5.19531634359933
2005-06-01,4.79151245990624
2005-07-01,5.11604691789369
2005-08-01,5.73899371069182
2005-09-01,5.08730120130344
2005-10-01,4.81653596669571
2005-11-01,5.12683188081211
2005-12-01,5.03052503052503
2006-01-01,5.90966858930492
2006-02-01,5.4913575451544
2006-03-01,6.28415300546448
2006-04-01,5.69401840490798
2006-05-01,5.1856745151701
2006-06-01,4.72023837676772
2006-07-01,5.79874392029088
2006-08-01,6.54039101692531
2006-09-01,4.66412710210908
2006-10-01,4.50069670227589
2006-11-01,4.87285191532725
2006-12-01,5.29449778434269
2007-01-01,6.09224201930215
2007-02-01,5.66703316840755
2007-03-01,5.93012704174229
2007-04-01,5.41616351357395
2007-05-01,4.70783592137151
2007-06-01,5.0755503743891
2007-07-01,5.39060378383272
2007-08-01,5.97266595669152
2007-09-01,4.37769752488329
2007-10-01,4.66186300894175
2007-11-01,4.56180366698833
2007-12-01,4.9183199754741
2008-01-01,5.69123419101614
2008-02-01,5.43454537518006
2008-03-01,6.11546197629135
2008-04-01,5.24771275677542
2008-05-01,5.61807331628304
2008-06-01,4.98932991890739
2008-07-01,5.28877493372735
2008-08-01,6.30902583121308
2008-09-01,5.16374392562856
2008-10-01,5.2067253535817
2008-11-01,5.63930296031913
2008-12-01,6.31124884831225
2009-01-01,7.05418310151546
2009-02-01,7.73969487741349
2009-03-01,8.23380752455876
2009-04-01,7.65318479050618
2009-05-01,6.80645161290323
2009-06-01,6.27557980900409
2009-07-01,7.11775398909311
2009-08-01,8.08941138835573
2009-09-01,6.28755620995662
2009-10-01,6.6421102661597
2009-11-01,6.67593328038126
2009-12-01,7.31104824893422
2010-01-01,7.69601155605489
2010-02-01,7.34283785393749
2010-03-01,7.73705873041
2010-04-01,7.15715126545026
2010-05-01,6.38869423032002
2010-06-01,6.00763977312189
2010-07-01,6.98600479393799
2010-08-01,8.11400153022188
2010-09-01,6.24742345313496
2010-10-01,6.414981942738
2010-11-01,6.27764356067646
2010-12-01,6.78364756393504
2011-01-01,7.33680386502378
2011-02-01,7.76060628575674
2011-03-01,8.21800595238095
2011-04-01,8.11038627867771
2011-05-01,6.86551812805348
2011-06-01,5.95840567396845
2011-07-01,6.14903791843958
2011-08-01,7.50427859215716
2011-09-01,5.61627088504427
2011-10-01,5.65505988801127
2011-11-01,6.14262440758294
2011-12-01,6.94530481361367
2012-01-01,7.80598434413637
2012-02-01,7.09025955088947
2012-03-01,6.94804260218768
2012-04-01,6.76485272091862
2012-05-01,5.90542757292632
2012-06-01,5.89372672586651
2012-07-01,6.10044797319445
2012-08-01,6.73035942605484
2012-09-01,5.43711899644103
2012-10-01,6.06230901619192
2012-11-01,6.10264012424114
2012-12-01,6.31386733153071
2013-01-01,7.20582062403806
2013-02-01,7.26769337255581
2013-03-01,6.97279500953041
2013-04-01,6.95711835334477
2013-05-01,5.9206268097428
2013-06-01,5.9059436484541
2013-07-01,6.69781931464174
2013-08-01,7.10706616218427
2013-09-01,5.72962686059947
2013-10-01,5.95600676818951
2013-11-01,6.25806013710717
2013-12-01,6.68433751316818
2014-01-01,7.3167410030302
2014-02-01,7.30515102481122
2014-03-01,7.33759676876473
2014-04-01,7.04150466885987
2014-05-01,6.42682038030875
2014-06-01,5.20335913057797
2014-07-01,6.1616127845943
2014-08-01,6.71145448438025
2014-09-01,5.23474725933824
2014-10-01,5.89639848776282
2014-11-01,5.89947798152858
2014-12-01,6.16320903802831
2015-01-01,7.18888777588567
2015-02-01,7.16417910447761
2015-03-01,6.88533125081348
2015-04-01,6.79046473056034
2015-05-01,6.18182995112794
2015-06-01,5.54033583652948
2015-07-01,6.36111564182026
2015-08-01,7.00568990042674
2015-09-01,5.2592616434388
2015-10-01,5.09705617688649
2015-11-01,6.12015541213114
2015-12-01,6.32854721627067
2016-01-01,7.40158490808175
2016-02-01,7.61721218248452
2016-03-01,7.52970171890799
2016-04-01,7.57447872706243
2016-05-01,5.82693324212556
2016-06-01,5.61503168013983
2016-07-01,6.50206539904771
2016-08-01,7.29856939369542
2016-09-01,5.4342492639843
2016-10-01,5.738981704896
2016-11-01,5.77132035639999
2016-12-01,6.81150910158544
2017-01-01,7.11453880939107
2017-02-01,7.04849884526559
2017-03-01,7.10446654722926
2017-04-01,6.65948275862069
2017-05-01,6.0776192667587
2017-06-01,5.38867372144796
2017-07-01,5.67704472448727
2017-08-01,6.40897680186311
2017-09-01,4.88959942084942
2017-10-01,5.18192171671762
2017-11-01,5.2003231501152
2017-12-01,5.27210884353742
2018-01-01,6.24546114742193
2018-02-01,5.98135915301783
2018-03-01,6.0886770393021
2018-04-01,5.78661301462418
2018-05-01,4.81202110849408
2018-06-01,4.72501478415139
2018-07-01,5.28025268929348
2018-08-01,6.2606649014416
2018-09-01,4.8083360013971
2018-10-01,4.72610722610723
2018-11-01,5.54172936682486
2018-12-01,4.9953095684803
2019-01-01,6.01836716497756
2019-02-01,6.41689091285448
2019-03-01,6.65023908005515
2019-04-01,6.05222555384123
2019-05-01,5.07741017224853
2019-06-01,4.5744098233073
2019-07-01,4.91511580421212
2019-08-01,5.70157703194501
2019-09-01,4.70413610024834
2019-10-01,4.59753733895793
2019-11-01,4.80937240411332
2019-12-01,4.98022346046136
2020-01-01,5.35812712134838
2020-02-01,6.1339303653951
2020-03-01,7.91718134227398
2020-04-01,13.5600490196078
2020-05-01,10.9859154929577
2020-06-01,9.07635760018971
2020-07-01,9.01856763925729
2020-08-01,9.2572783254792
2020-09-01,6.84868383157652
2020-10-01,7.10800998411618
2020-11-01,6.78984097929299
2020-12-01,7.7034594502402
2021-01-01,8.93373407757264
2021-02-01,8.39646824266591
2021-03-01,7.72002928092798
2021-04-01,8.40134421507441
2021-05-01,7.97258805944894
2021-06-01,7.12804707200897
2021-07-01,7.62695007246171
2021-08-01,8.09527822252184
2021-09-01,6.36478340109351
2021-10-01,6.57047225269316
2021-11-01,6.13158118326772
2021-12-01,5.87508618708343
2022-01-01,6.97795521610831
2022-02-01,6.10354380699527
2022-03-01,6.01352323406704
2022-04-01,5.80077113425793
2022-05-01,4.48286811188407
2022-06-01,4.01311360243538
2022-07-01,4.73773762027693
2022-08-01,5.83192395171167
2022-09-01,3.99815912098027
2022-10-01,4.13087817069317
2022-11-01,4.01135343354476
2022-12-01,4.02953831840912
2023-01-01,5.20221173609704
2023-02-01,4.44807708853136
2023-03-01,5.09277761918356
2023-04-01,4.45186898540792
2023-05-01,4.11295624088947
2023-06-01,4.09047851422338
2023-07-01,4.5691603407313
2023-08-01,5.78615621459901
2023-09-01,4.43363926691026
2023-10-01,4.5496113397348
2023-11-01,4.29287863590772
