"Date","CANXTIMVA01CXMLM"
2005-12-01,26379426372.2723
2006-01-01,26397687190.1493
2006-02-01,25701704411.8372
2006-03-01,30804654914.5281
2006-04-01,28187489302.8718
2006-05-01,31492809634.3051
2006-06-01,31131517749.5396
2006-07-01,27071185145.0734
2006-08-01,31437776042.1755
2006-09-01,29912774166.4731
2006-10-01,30674438402.5004
2006-11-01,30176763741.7069
2006-12-01,27272603162.6782
2007-01-01,27415124855.635
2007-02-01,27541749302.6417
2007-03-01,32153396989.8657
2007-04-01,30722773523.6231
2007-05-01,32470394135.1529
2007-06-01,32268157231.4486
2007-07-01,30680400233.9768
2007-08-01,32916320399.0597
2007-09-01,32321902341.0238
2007-10-01,36211051203.7647
2007-11-01,35162492251.3752
2007-12-01,30761888462.5253
2008-01-01,31934634445.0508
2008-02-01,32615553393.3183
2008-03-01,35061895564.8053
2008-04-01,35353207759.9093
2008-05-01,37432522174.2097
2008-06-01,37557374437.7812
2008-07-01,36788669950.7389
2008-08-01,34129840021.6918
2008-09-01,36072311193.1647
2008-10-01,34841628609.3107
2008-11-01,29598523379.8195
2008-12-01,27237167569.3153
2009-01-01,23788282236.0653
2009-02-01,23795523047.864
2009-03-01,25393383912.8403
2009-04-01,25247879688.0802
2009-05-01,24626079940.4171
2009-06-01,26387160051.3404
2009-07-01,27088433846.8684
2009-08-01,27702286164.7616
2009-09-01,28841155447.1683
2009-10-01,29957911078.5287
2009-11-01,29580399388.3243
2009-12-01,29256117569.4617
2010-01-01,27085176051.5138
2010-02-01,28271354881.4538
2010-03-01,34350934976.6256
2010-04-01,32465415913.2006
2010-05-01,32722124055.8479
2010-06-01,34073220071.8101
2010-07-01,31800235232.6188
2010-08-01,33764239856.7497
2010-09-01,34803142190.7317
2010-10-01,35411397196.2616
2010-11-01,34351613337.5218
2010-12-01,32990913405.5314
2011-01-01,33330343538.8817
2011-02-01,33161571168.2527
2011-03-01,39897689636.7521
2011-04-01,37704782738.3912
2011-05-01,38743520908.6216
2011-06-01,39659044606.7259
2011-07-01,37290065763.2523
2011-08-01,40084870227.6553
2011-09-01,38506787658.8022
2011-10-01,39194773925.6217
2011-11-01,38352533049.419
2011-12-01,35729329187.0279
2012-01-01,35494458653.0266
2012-02-01,37326842558.0729
2012-03-01,40824213030.7467
2012-04-01,38747155602.4559
2012-05-01,39842341140.0035
2012-06-01,39486966594.0789
2012-07-01,37648554135.8438
2012-08-01,39878185641.0706
2012-09-01,38054380047.0203
2012-10-01,40509458327.8241
2012-11-01,39355132004.9246
2012-12-01,35275472787.6425
2013-01-01,37135456577.9668
2013-02-01,35907029702.9703
2013-03-01,39179559192.7833
2013-04-01,40206497099.5093
2013-05-01,39498735476.646
2013-06-01,38600732067.9708
2013-07-01,37560613723.0892
2013-08-01,39338004849.1733
2013-09-01,39024894547.7628
2013-10-01,40844762723.5934
2013-11-01,38418189329.181
2013-12-01,36031054068.9549
2014-01-01,34648058464.7438
2014-02-01,34803988513.8038
2014-03-01,38928023871.9969
2014-04-01,39625056346.5904
2014-05-01,40913867967.067
2014-06-01,40390235856.1112
2014-07-01,39095315416.7289
2014-08-01,39939598456.6083
2014-09-01,40050380538.2457
2014-10-01,41696147823.1209
2014-11-01,37207519201.6694
2014-12-01,36512310502.6271
2015-01-01,33308651436.7719
2015-02-01,32309723572.5517
2015-03-01,37720130466.9056
2015-04-01,36718227689.588
2015-05-01,36633653609.2634
2015-06-01,37436608942.575
2015-07-01,35052770859.2777
2015-08-01,34872706056.3012
2015-09-01,34785750751.2137
2015-10-01,35349071573.7313
2015-11-01,33746580477.6033
2015-12-01,31883838575.9385
2016-01-01,29261618903.9718
2016-02-01,31203339444.5999
2016-03-01,34648164176.0101
2016-04-01,34370189842.8504
2016-05-01,34427752643.7525
2016-06-01,35954605416.311
2016-07-01,32272415203.4825
2016-08-01,35730267273.7675
2016-09-01,36440766435.6438
2016-10-01,33963678299.6703
2016-11-01,33200902201.7375
2016-12-01,31453358431.2231
2017-01-01,31746446296.921
2017-02-01,32520043634.4773
2017-03-01,37226645442.1414
2017-04-01,34734703597.315
2017-05-01,37426095960.6774
2017-06-01,38399552907.6384
2017-07-01,34781092550.3839
2017-08-01,38154664882.4081
2017-09-01,37447230338.7767
2017-10-01,36879435591.4964
2017-11-01,38292341602.8973
2017-12-01,35511220996.5766
2018-01-01,35287933470.4213
2018-02-01,35261246513.402
2018-03-01,40731090487.239
2018-04-01,39511186159.2318
2018-05-01,41334055080.2083
2018-06-01,40216613086.9876
2018-07-01,37901986846.6597
2018-08-01,39986725088.2828
2018-09-01,37616021537.9541
2018-10-01,39686236820.8165
2018-11-01,37408726852.0112
2018-12-01,34755828077.4693
2019-01-01,36073466029.3081
2019-02-01,35079720787.9715
2019-03-01,40096900246.4984
2019-04-01,38893297634.4992
2019-05-01,40297011632.3768
2019-06-01,38138673771.195
2019-07-01,38140260860.9074
2019-08-01,39034836262.0356
2019-09-01,37270592042.574
2019-10-01,39277776862.1466
2019-11-01,36310414785.6648
2019-12-01,34947630354.6531
2020-01-01,34893122540.6785
2020-02-01,33880683529.0575
2020-03-01,35410069879.9498
2020-04-01,25875142684.3741
2020-05-01,24776076023.5513
2020-06-01,32239980946.4386
2020-07-01,34736112944.5098
2020-08-01,35646299195.5946
2020-09-01,36839235558.4281
2020-10-01,38439691032.0149
2020-11-01,37028227173.1643
2020-12-01,36636597518.2602
2021-01-01,34511490833.1555
2021-02-01,34410592793.2468
2021-03-01,43712693121.6199
2021-04-01,39978172878.656
2021-05-01,41675171844.9273
2021-06-01,42500978386.2206
2021-07-01,41036497410.154
2021-08-01,41727275023.5451
2021-09-01,40471982603.953
2021-10-01,43687997427.4459
2021-11-01,43954713513.5919
2021-12-01,44132665993.8905
2022-01-01,38572724047.8814
2022-02-01,40048125503.7647
2022-03-01,51837159216.9848
2022-04-01,49743819792.5034
2022-05-01,49621797705.9141
2022-06-01,52165363604.1148
2022-07-01,48181171153.9313
2022-08-01,51756328655.9116
2022-09-01,48967499889.1537
2022-10-01,48401196376.8067
2022-11-01,47000960114.673
2022-12-01,43418520351.5202
2023-01-01,43728611132.739
2023-02-01,42423487782.5767
2023-03-01,48638697253.4789
2023-04-01,45001668557.6987
2023-05-01,49334617586.3334
2023-06-01,49768065076.6935
2023-07-01,44933910323.8546
2023-08-01,49189241145.2975
2023-09-01,47024950928.3167
