"Date","LRUN55TTCAM156S"
2004-12-01,5.95558717414503
2005-01-01,5.51487298621282
2005-02-01,5.84610760444845
2005-03-01,5.3100445423152
2005-04-01,5.45743992836177
2005-05-01,5.28834172357075
2005-06-01,5.33939783457754
2005-07-01,5.11678543151227
2005-08-01,4.9476594904207
2005-09-01,5.73473188903049
2005-10-01,5.55691315184986
2005-11-01,5.60711145843509
2005-12-01,4.97682361551598
2006-01-01,5.04702802288374
2006-02-01,5.12635030864198
2006-03-01,5.40345821325648
2006-04-01,5.31131121490827
2006-05-01,5.3797769941866
2006-06-01,5.25494276795005
2006-07-01,6.037577509441
2006-08-01,5.59864617120293
2006-09-01,5.36233242711165
2006-10-01,5.29527743873815
2006-11-01,5.27635856943799
2006-12-01,5.53439493368822
2007-01-01,5.16343183808953
2007-02-01,5.2703316674239
2007-03-01,5.04324078288575
2007-04-01,5.09620150497905
2007-05-01,4.99050718741524
2007-06-01,5.62693048032589
2007-07-01,5.34575772437469
2007-08-01,4.82403585851862
2007-09-01,5.46244568590937
2007-10-01,5.56529360210342
2007-11-01,5.03164000703111
2007-12-01,5.21693765759499
2008-01-01,4.83012334992426
2008-02-01,4.82418153473064
2008-03-01,5.13934285222777
2008-04-01,4.78848669864806
2008-05-01,5.9219265543986
2008-06-01,6.18578675875005
2008-07-01,5.15224496817478
2008-08-01,5.47587447018024
2008-09-01,6.28238892192677
2008-10-01,6.30326554721121
2008-11-01,6.14783376055805
2008-12-01,6.02154114858402
2009-01-01,6.88430932462763
2009-02-01,7.99643161266778
2009-03-01,8.05669978192391
2009-04-01,7.83030303030303
2009-05-01,7.13938214546339
2009-06-01,6.51944037741988
2009-07-01,7.43522795742117
2009-08-01,7.86213468869123
2009-09-01,6.5540731186263
2009-10-01,6.6144719318778
2009-11-01,6.7481974266024
2009-12-01,6.78591258824463
2010-01-01,7.4990153603781
2010-02-01,7.27251434594215
2010-03-01,7.25964939863218
2010-04-01,7.0062689744904
2010-05-01,6.9630381327817
2010-06-01,6.62723275090478
2010-07-01,7.2308105412559
2010-08-01,7.57948087851328
2010-09-01,6.95734239335598
2010-10-01,6.74867396456382
2010-11-01,6.57870284333767
2010-12-01,6.51162790697674
2011-01-01,6.74819344080044
2011-02-01,7.31877922173545
2011-03-01,7.48988605574732
2011-04-01,7.79608536989937
2011-05-01,7.06189410887398
2011-06-01,6.7760739613114
2011-07-01,6.55231433248996
2011-08-01,6.75842005147141
2011-09-01,6.67212443716742
2011-10-01,6.23648699023336
2011-11-01,6.4789461999556
2011-12-01,6.90469272119715
2012-01-01,7.12188757203436
2012-02-01,6.34500272084165
2012-03-01,6.20818646140566
2012-04-01,6.27875215641173
2012-05-01,6.20113140921702
2012-06-01,6.71386981993315
2012-07-01,6.30312635066993
2012-08-01,6.05436134304494
2012-09-01,6.45263939468939
2012-10-01,6.65330379435243
2012-11-01,6.49295774647887
2012-12-01,6.39887738993159
2013-01-01,6.26737076153418
2013-02-01,6.30434029581904
2013-03-01,6.19880605303346
2013-04-01,6.30920279333472
2013-05-01,6.23198352779684
2013-06-01,6.60039898190823
2013-07-01,6.9869144829
2013-08-01,6.58011012167766
2013-09-01,6.64984313190561
2013-10-01,6.77113430096196
2013-11-01,6.82608842503462
2013-12-01,6.38463887098416
2014-01-01,6.53994192720643
2014-02-01,6.40091730743289
2014-03-01,6.69833889281984
2014-04-01,6.34262201853277
2014-05-01,6.84397989414467
2014-06-01,6.2899116566853
2014-07-01,6.32852797249041
2014-08-01,6.25502276989017
2014-09-01,6.25480303384677
2014-10-01,6.85537519957424
2014-11-01,6.47697741054175
2014-12-01,5.9846856528748
2015-01-01,6.31924633450541
2015-02-01,6.50036058480299
2015-03-01,6.13898106578177
2015-04-01,6.10517370984083
2015-05-01,6.65586519766688
2015-06-01,6.58558675119679
2015-07-01,6.48172070791887
2015-08-01,6.63494920920664
2015-09-01,6.07149795997668
2015-10-01,5.80000646600498
2015-11-01,6.4840944073884
2015-12-01,6.28629778543621
2016-01-01,6.91480929583716
2016-02-01,7.07026210628992
2016-03-01,6.9691344429412
2016-04-01,7.05230538078693
2016-05-01,6.09461704862526
2016-06-01,6.46619373469772
2016-07-01,6.68481832691766
2016-08-01,6.38709476114699
2016-09-01,6.14804745427583
2016-10-01,6.32705137270575
2016-11-01,6.03893276945084
2016-12-01,6.83364254792826
2017-01-01,6.44360694916812
2017-02-01,6.17861650709602
2017-03-01,6.32348856587353
2017-04-01,6.14183915846624
2017-05-01,6.47732168133424
2017-06-01,6.20278330019881
2017-07-01,5.78595932369517
2017-08-01,5.72623159425559
2017-09-01,5.51732537604287
2017-10-01,5.72446484103741
2017-11-01,5.51490433635219
2017-12-01,5.56880515144288
2018-01-01,5.68389513108614
2018-02-01,4.97142338746258
2018-03-01,4.99639466410287
2018-04-01,5.25855834136934
2018-05-01,5.48872850396507
2018-06-01,5.50273952317488
